pair,period,signal,date
SPX,daily,Neutral,2022-02-10 12:54:00-08:00
SPX,weekly,Neutral,2022-02-10 12:54:00-08:00
DJA,daily,Neutral,2022-02-10 12:54:00-08:00
DJA,weekly,Neutral,2022-02-10 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-11 12:54:00-08:00
SPX,weekly,Sell,2022-02-11 12:54:00-08:00
DJA,daily,Strong Sell,2022-02-11 12:54:00-08:00
DJA,weekly,Sell,2022-02-11 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-14 12:55:00-08:00
SPX,weekly,Sell,2022-02-14 12:55:00-08:00
DJA,daily,Strong Sell,2022-02-14 14:10:00-08:00
DJA,weekly,Sell,2022-02-14 14:10:00-08:00
SPX,daily,Neutral,2022-02-15 12:55:00-08:00
SPX,weekly,Neutral,2022-02-15 12:55:00-08:00
DJA,daily,Neutral,2022-02-15 13:56:00-08:00
DJA,weekly,Neutral,2022-02-15 13:56:00-08:00
SPX,daily,Neutral,2022-02-16 12:54:00-08:00
SPX,weekly,Neutral,2022-02-16 12:54:00-08:00
DJA,daily,Sell,2022-02-16 12:54:00-08:00
DJA,weekly,Neutral,2022-02-16 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-17 12:54:00-08:00
SPX,weekly,Strong Sell,2022-02-17 12:54:00-08:00
DJA,daily,Strong Sell,2022-02-17 12:54:00-08:00
DJA,weekly,Strong Sell,2022-02-17 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-18 12:54:00-08:00
SPX,weekly,Strong Sell,2022-02-18 12:54:00-08:00
DJA,daily,Strong Sell,2022-02-18 12:54:00-08:00
DJA,weekly,Strong Sell,2022-02-18 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-18 12:55:00-08:00
SPX,weekly,Strong Sell,2022-02-18 12:55:00-08:00
DJA,daily,Strong Sell,2022-02-18 13:55:00-08:00
DJA,weekly,Strong Sell,2022-02-18 13:55:00-08:00
SPX,daily,Strong Sell,2022-02-22 12:54:00-08:00
SPX,weekly,Strong Sell,2022-02-22 12:54:00-08:00
DJA,daily,Strong Sell,2022-02-22 12:54:00-08:00
DJA,weekly,Strong Sell,2022-02-22 12:54:00-08:00
SPX,daily,Strong Sell,2022-02-23 12:55:00-08:00
SPX,weekly,Strong Sell,2022-02-23 12:55:00-08:00
DJA,daily,Strong Sell,2022-02-23 13:12:00-08:00
DJA,weekly,Strong Sell,2022-02-23 13:12:00-08:00
SPX,daily,Strong Sell,2022-02-24 12:55:00-08:00
SPX,weekly,Strong Sell,2022-02-24 12:55:00-08:00
DJA,daily,Strong Sell,2022-02-24 13:16:00-08:00
DJA,weekly,Strong Sell,2022-02-24 13:16:00-08:00
SPX,daily,Sell,2022-02-28 12:54:00-08:00
SPX,weekly,Strong Sell,2022-02-28 12:54:00-08:00
DJA,daily,Strong Sell,2022-02-28 12:54:00-08:00
DJA,weekly,Strong Sell,2022-02-28 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-01 12:55:00-08:00
SPX,weekly,Strong Sell,2022-03-01 12:55:00-08:00
DJA,daily,Strong Sell,2022-03-01 14:21:00-08:00
DJA,weekly,Strong Sell,2022-03-01 14:21:00-08:00
SPX,daily,Sell,2022-03-02 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-02 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-02 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-02 12:54:00-08:00
SPX,daily,Neutral,2022-03-03 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-03 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-03 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-03 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-04 12:55:00-08:00
SPX,weekly,Strong Sell,2022-03-04 12:55:00-08:00
DJA,daily,Strong Sell,2022-03-04 12:58:00-08:00
DJA,weekly,Strong Sell,2022-03-04 12:59:00-08:00
SPX,daily,Strong Sell,2022-03-07 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-07 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-07 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-07 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-09 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-09 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-09 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-09 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-10 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-10 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-10 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-10 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-11 12:54:00-08:00
SPX,weekly,Strong Sell,2022-03-11 12:54:00-08:00
DJA,daily,Strong Sell,2022-03-11 12:54:00-08:00
DJA,weekly,Strong Sell,2022-03-11 12:54:00-08:00
SPX,daily,Strong Sell,2022-03-14 13:54:00-07:00
SPX,weekly,Strong Sell,2022-03-14 13:54:00-07:00
DJA,daily,Strong Sell,2022-03-14 13:54:00-07:00
DJA,weekly,Strong Sell,2022-03-14 13:54:00-07:00
SPX,daily,Strong Sell,2022-03-15 13:54:00-07:00
SPX,weekly,Strong Sell,2022-03-15 13:54:00-07:00
DJA,daily,Sell,2022-03-15 13:54:00-07:00
DJA,weekly,Strong Sell,2022-03-15 13:54:00-07:00
SPX,daily,Strong Buy,2022-03-17 13:54:00-07:00
SPX,weekly,Neutral,2022-03-17 13:54:00-07:00
DJA,daily,Strong Buy,2022-03-17 13:54:00-07:00
DJA,weekly,Neutral,2022-03-17 13:54:00-07:00
